provider,card_name,store,benefit_detail
ธนาคาร 1,บัตรเครดิต 1,A,รับเครดิตเงินคืน 10% เมื่อทานอาหารที่ร้านในเครือ The Mall
ธนาคาร 2,บัตรเครดิต 2,A,ส่วนลด 15% สำหรับร้านอาหารญี่ปุ่นที่ร่วมรายการ
ธนาคาร 3,บัตรเครดิต 3,A,ฟรีเมนูของหวาน 1 อย่าง เมื่อสั่งอาหารครบ 800 บาท
ธนาคาร 4,บัตรเครดิต 4,A,"แลกรับเมนูพิเศษด้วยคะแนน 1,000 คะแนน ที่ร้านอาหาร FineDine"
ธนาคาร 5,บัตรเครดิต 5,A,รับคะแนนสะสม 2 เท่า เมื่อใช้จ่ายที่ร้านอาหารในวันเกิด
ธนาคาร 6,บัตรเครดิต 6,A,ส่วนลด 5% สำหรับค่าอาหารในห้าง Central
ธนาคาร 7,บัตรเครดิต 7,A,สิทธิ์ซื้อเมนูพิเศษ 99 บาท ที่ร้านคู่สัญญา
ธนาคาร 8,บัตรเครดิต 8,A,"รับคูปองร้านอาหาร 200 บาท เมื่อใช้จ่ายครบ 2,000 บาท"
ธนาคาร 9,บัตรเครดิต 9,A,รับสิทธิ์เข้า VIP Lounge ฟรี เมื่อจองโต๊ะล่วงหน้า
ธนาคาร 10,บัตรเครดิต 10,A,แลกคะแนน 500 แต้ม รับบัตรกำนัลร้านอาหารมูลค่า 100 บาท